"","player_name","match_round","vote","season","player_team"
"1020","Bryce Gibbs","17",3,2017,"Carlton"
"1021","Caleb Daniel","17",1,2017,"Western Bulldogs"
"1022","Matthew Kreuzer","17",1,2017,"Carlton"
"1023","Rory Sloane","18",9,2017,"Adelaide"
"1024","Sam Jacobs","18",6,2017,"Adelaide"
"1025","Matt Crouch","18",5,2017,"Adelaide"
"1026","Richard Douglas","18",4,2017,"Adelaide"
"1027","Brad Crouch","18",3,2017,"Adelaide"
"1028","Hugh Greenwood","18",2,2017,"Adelaide"
"1029","Jed Bews","18",1,2017,"Geelong"
"1030","Zach Merrett","18",9,2017,"Essendon"
"1031","Dyson Heppell","18",7,2017,"Essendon"
"1032","Ben Brown","18",7,2017,"North Melbourne"
"1033","Cale Hooker","18",4,2017,"Essendon"
"1034","Jarrad Waite","18",3,2017,"North Melbourne"
"1035","Michael Hibberd","18",10,2017,"Melbourne"
"1036","Travis Boak","18",5,2017,"Port Adelaide"
"1037","Clayton Oliver","18",4,2017,"Melbourne"
"1038","Max Gawn","18",4,2017,"Melbourne"
"1039","Jack Viney","18",3,2017,"Melbourne"
"1040","Jayden Hunt","18",3,2017,"Melbourne"
"1041","Robbie Gray","18",1,2017,"Port Adelaide"
"1042","Liam Picken","18",10,2017,"Western Bulldogs"
"1043","Lachie Hunter","18",6,2017,"Western Bulldogs"
"1044","Shane Biggs","18",6,2017,"Western Bulldogs"
"1045","Toby McLean","18",3,2017,"Western Bulldogs"
"1046","Jason Johannisen","18",3,2017,"Western Bulldogs"
"1047","Luke Dahlhaus","18",1,2017,"Western Bulldogs"
"1048","Mitch Wallis","18",1,2017,"Western Bulldogs"
"1049","Jack Gunston","18",10,2017,"Hawthorn"
"1050","Tom Mitchell","18",7,2017,"Hawthorn"
"1051","Luke Breust","18",4,2017,"Hawthorn"
"1052","Liam Shiels","18",4,2017,"Hawthorn"
"1053","James Sicily","18",4,2017,"Hawthorn"
"1054","Blake Hardwick","18",1,2017,"Hawthorn"
"1055","Callum Sinclair","18",10,2017,"Sydney"
"1056","Lewis Melican","18",5,2017,"Sydney"
"1057","Lance Franklin","18",5,2017,"Sydney"
"1058","Heath Grundy","18",4,2017,"Sydney"
"1059","Luke Dunstan","18",3,2017,"St Kilda"
"1060","Isaac Heeney","18",2,2017,"Sydney"
"1061","Josh P. Kennedy","18",1,2017,"Sydney"
"1062","Dustin Martin","18",10,2017,"Richmond"
"1063","Trent Cotchin","18",6,2017,"Richmond"
"1064","Nick Vlastuin","18",5,2017,"Richmond"
"1065","Phil Davis","18",5,2017,"Greater Western Sydney"
"1066","Phil Davis","18",5,2017,"Greater Western Sydney"
"1067","Callan Ward","18",4,2017,"Greater Western Sydney"
"1068","Callan Ward","18",4,2017,"Greater Western Sydney"
"1069","Jordan De Goey","18",8,2017,"Collingwood"
"1070","Brodie Grundy","18",5,2017,"Collingwood"
"1071","Josh J. Kennedy","18",5,2017,"West Coast"
"1072","Jack Crisp","18",5,2017,"Collingwood"
"1073","Levi Greenwood","18",3,2017,"Collingwood"
"1074","Adam Treloar","18",2,2017,"Collingwood"
"1075","Shannon Hurn","18",2,2017,"West Coast"
"1076","Dayne Zorko","18",9,2017,"Brisbane Lions"
"1077","Dayne Beams","18",7,2017,"Brisbane Lions"
"1078","Tom Rockliff","18",6,2017,"Brisbane Lions"
"1079","Ryan Lester","18",4,2017,"Brisbane Lions"
"1080","Harris Andrews","18",2,2017,"Brisbane Lions"
"1081","Marc Murphy","18",2,2017,"Carlton"
"1082","Ben McEvoy","19",10,2017,"Hawthorn"
"1083","Liam Shiels","19",8,2017,"Hawthorn"
"1084","James Sicily","19",5,2017,"Hawthorn"
"1085","Luke Parker","19",3,2017,"Sydney"
"1086","Tom Papley","19",2,2017,"Sydney"
"1087","Daniel Howe","19",1,2017,"Hawthorn"
"1088","Jarryd Roughead","19",1,2017,"Hawthorn"
"1089","Ben Brown","19",8,2017,"North Melbourne"
"1090","Clayton Oliver","19",8,2017,"Melbourne"
"1091","Jack Ziebell","19",5,2017,"North Melbourne"
"1092","Andrew Swallow","19",5,2017,"North Melbourne"
"1093","Tom McDonald","19",3,2017,"Melbourne"
"1094","Shaun Higgins","19",1,2017,"North Melbourne"
"1095","Nat Fyfe","19",6,2017,"Fremantle"
"1096","Stephen Coniglio","19",6,2017,"Greater Western Sydney"
"1097","Stephen Coniglio","19",6,2017,"Greater Western Sydney"
"1098","Luke Ryan","19",5,2017,"Fremantle"
"1099","Dylan Shiel","19",5,2017,"Greater Western Sydney"
"1100","Dylan Shiel","19",5,2017,"Greater Western Sydney"
"1101","Josh Kelly","19",4,2017,"Greater Western Sydney"
"1102","Josh Kelly","19",4,2017,"Greater Western Sydney"
"1103","Dawson Simpson","19",3,2017,"Greater Western Sydney"
"1104","Dawson Simpson","19",3,2017,"Greater Western Sydney"
"1105","Lachie Neale","19",1,2017,"Fremantle"
"1106","Jake Carlisle","19",8,2017,"St Kilda"
"1107","Paddy Ryder","19",8,2017,"Port Adelaide"
"1108","Robbie Gray","19",8,2017,"Port Adelaide"
"1109","Sebastian Ross","19",2,2017,"St Kilda"
"1110","Tim Membrey","19",2,2017,"St Kilda"
"1111","Luke Dunstan","19",2,2017,"St Kilda"
"1112","Dustin Martin","19",9,2017,"Richmond"
"1113","Aaron Hall","19",9,2017,"Gold Coast"
"1114","Trent Cotchin","19",5,2017,"Richmond"
"1115","Daniel Rioli","19",3,2017,"Richmond"
"1116","Pearce Hanley","19",2,2017,"Gold Coast"
"1117","Jason Castagna","19",2,2017,"Richmond"
"1118","Tom Hawkins","19",10,2017,"Geelong"
"1119","Mitch Duncan","19",7,2017,"Geelong"
"1120","Jordan Murdoch","19",4,2017,"Geelong"
"1121","Patrick Dangerfield","19",3,2017,"Geelong"
"1122","Sam Menegola","19",2,2017,"Geelong"
"1123","Zac Smith","19",2,2017,"Geelong"
"1124","Joel Selwood","19",2,2017,"Geelong"
"1125","Jason Johannisen","19",9,2017,"Western Bulldogs"
"1126","Joe Daniher","19",9,2017,"Essendon"
"1127","Marcus Bontempelli","19",6,2017,"Western Bulldogs"
"1128","Jordan Roughead","19",2,2017,"Western Bulldogs"
"1129","Shane Biggs","19",2,2017,"Western Bulldogs"
"1130","Michael Hurley","19",1,2017,"Essendon"
"1131","David Zaharakis","19",1,2017,"Essendon"
"1132","Dom Sheed","19",9,2017,"West Coast"
"1133","Josh J. Kennedy","19",9,2017,"West Coast"
"1134","Daniel Rich","19",4,2017,"Brisbane Lions"
"1135","Luke Shuey","19",4,2017,"West Coast"
"1136","Dayne Beams","19",2,2017,"Brisbane Lions"
"1137","Drew Petrie","19",2,2017,"West Coast"
"1138","Daniel Wells","19",10,2017,"Collingwood"
"1139","Taylor Adams","19",7,2017,"Collingwood"
"1140","Steele Sidebottom","19",7,2017,"Collingwood"
"1141","Jeremy Howe","19",3,2017,"Collingwood"
"1142","Brodie Smith","19",3,2017,"Adelaide"
"1143","Luke Parker","20",9,2017,"Sydney"
"1144","Jarrad McVeigh","20",6,2017,"Sydney"
"1145","Dan Hannebery","20",5,2017,"Sydney"
"1146","Mitch Duncan","20",5,2017,"Geelong"
"1147","Sam Reid","20",3,2017,"Sydney"
"1148","Tom Papley","20",1,2017,"Sydney"
"1149","Sam Menegola","20",1,2017,"Geelong"
"1150","Josh Kelly","20",10,2017,"Greater Western Sydney"
"1151","Josh Kelly","20",10,2017,"Greater Western Sydney"
"1152","Callan Ward","20",8,2017,"Greater Western Sydney"
"1153","Callan Ward","20",8,2017,"Greater Western Sydney"
"1154","Stephen Coniglio","20",6,2017,"Greater Western Sydney"
"1155","Stephen Coniglio","20",6,2017,"Greater Western Sydney"
"1156","Jordan Lewis","20",2,2017,"Melbourne"
"1157","Max Gawn","20",2,2017,"Melbourne"
"1158","Dylan Shiel","20",1,2017,"Greater Western Sydney"
"1159","Dylan Shiel","20",1,2017,"Greater Western Sydney"
"1160","Heath Shaw","20",1,2017,"Greater Western Sydney"
"1161","Heath Shaw","20",1,2017,"Greater Western Sydney"
"1162","Dyson Heppell","20",10,2017,"Essendon"
"1163","Anthony McDonald-Tipungwuti","20",6,2017,"Essendon"
"1164","David Zaharakis","20",4,2017,"Essendon"
"1165","Matthew Kreuzer","20",4,2017,"Carlton"
"1166","Marc Murphy","20",2,2017,"Carlton"
"1167","Liam Jones","20",2,2017,"Carlton"
"1168","Brendon Goddard","20",2,2017,"Essendon"
"1169","Marcus Bontempelli","20",10,2017,"Western Bulldogs"
"1170","Jack Macrae","20",7,2017,"Western Bulldogs"
"1171","Toby McLean","20",5,2017,"Western Bulldogs"
"1172","Daniel Rich","20",5,2017,"Brisbane Lions"
"1173","Lachie Hunter","20",2,2017,"Western Bulldogs"
"1174","Josh Walker","20",1,2017,"Brisbane Lions"
"1175","Bradley Hill","20",10,2017,"Fremantle"
"1176","Luke Ryan","20",5,2017,"Fremantle"
"1177","Lachie Neale","20",4,2017,"Fremantle"
"1178","Nat Fyfe","20",4,2017,"Fremantle"
"1179","Stephen Hill","20",4,2017,"Fremantle"
"1180","Cam McCarthy","20",2,2017,"Fremantle"
"1181","Pearce Hanley","20",1,2017,"Gold Coast"
"1182","Taylor Adams","20",9,2017,"Collingwood"
"1183","Adam Treloar","20",8,2017,"Collingwood"
"1184","Steele Sidebottom","20",4,2017,"Collingwood"
"1185","Jack Ziebell","20",3,2017,"North Melbourne"
"1186","Tom Langdon","20",3,2017,"Collingwood"
"1187","Jack Crisp","20",2,2017,"Collingwood"
"1188","Jordan De Goey","20",1,2017,"Collingwood"
"1189","Jack Steele","20",10,2017,"St Kilda"
"1190","Josh J. Kennedy","20",5,2017,"West Coast"
"1191","Luke Dunstan","20",4,2017,"St Kilda"
"1192","Billy Longer","20",4,2017,"St Kilda"
"1193","Jack Billings","20",3,2017,"St Kilda"
"1194","Shannon Hurn","20",3,2017,"West Coast"
"1195","Koby Stevens","20",1,2017,"St Kilda"
"1196","Kane Lambert","20",10,2017,"Richmond"
"1197","Josh Caddy","20",8,2017,"Richmond"
"1198","James Sicily","20",5,2017,"Hawthorn"
"1199","Dion Prestia","20",4,2017,"Richmond"
"1200","Dustin Martin","20",3,2017,"Richmond"
"1201","Sam Jacobs","20",9,2017,"Adelaide"
"1202","Rory Sloane","20",7,2017,"Adelaide"
"1203","Taylor Walker","20",5,2017,"Adelaide"
"1204","Matt Crouch","20",4,2017,"Adelaide"
"1205","Eddie Betts","20",3,2017,"Adelaide"
"1206","Brad Crouch","20",1,2017,"Adelaide"
"1207","Tom Lynch","20",1,2017,"Adelaide"
"1208","Josh Kelly","21",8,2017,"Greater Western Sydney"
"1209","Josh Kelly","21",8,2017,"Greater Western Sydney"
"1210","Stephen Coniglio","21",6,2017,"Greater Western Sydney"
"1211","Stephen Coniglio","21",6,2017,"Greater Western Sydney"
"1212","Zac Williams","21",6,2017,"Greater Western Sydney"
"1213","Zac Williams","21",6,2017,"Greater Western Sydney"
"1214","Jonathon Patton","21",5,2017,"Greater Western Sydney"
"1215","Jonathon Patton","21",5,2017,"Greater Western Sydney"
"1216","Dylan Shiel","21",4,2017,"Greater Western Sydney"
"1217","Dylan Shiel","21",4,2017,"Greater Western Sydney"
"1218","Nick Haynes","21",1,2017,"Greater Western Sydney"
"1219","Nick Haynes","21",1,2017,"Greater Western Sydney"
"1220","Luke Parker","21",10,2017,"Sydney"
"1221","Lance Franklin","21",7,2017,"Sydney"
"1222","Dan Hannebery","21",7,2017,"Sydney"
"1223","Dane Rampe","21",4,2017,"Sydney"
"1224","Isaac Heeney","21",2,2017,"Sydney"
"1225","Harry Taylor","21",10,2017,"Geelong"
"1226","Patrick Dangerfield","21",5,2017,"Geelong"
"1227","Cameron Guthrie","21",4,2017,"Geelong"
"1228","Jed Bews","21",4,2017,"Geelong"
"1229","Nick Vlastuin","21",3,2017,"Richmond"
"1230","Dion Prestia","21",3,2017,"Richmond"
"1231","Tom Stewart","21",1,2017,"Geelong"
"1232","Dayne Beams","21",10,2017,"Brisbane Lions"
"1233","Lewis Taylor","21",7,2017,"Brisbane Lions"
"1234","Tom Rockliff","21",7,2017,"Brisbane Lions"
"1235","Stefan Martin","21",2,2017,"Brisbane Lions"
"1236","Ryan Lester","21",2,2017,"Brisbane Lions"
"1237","Daniel Rich","21",1,2017,"Brisbane Lions"
"1238","Jack Martin","21",1,2017,"Gold Coast"
"1239","Josh J. Kennedy","21",10,2017,"West Coast"
"1240","Marc Murphy","21",7,2017,"Carlton"
"1241","Jeremy McGovern","21",6,2017,"West Coast"
"1242","Luke Shuey","21",3,2017,"West Coast"
"1243","Elliot Yeo","21",2,2017,"West Coast"
"1244","Sam Kerridge","21",1,2017,"Carlton"
"1245","Matthew Kreuzer","21",1,2017,"Carlton"
"1246","Matt Crouch","21",9,2017,"Adelaide"
"1247","Brodie Smith","21",7,2017,"Adelaide"
"1248","Rory Atkins","21",5,2017,"Adelaide"
"1249","Richard Douglas","21",3,2017,"Adelaide"
"1250","Josh Jenkins","21",3,2017,"Adelaide"
"1251","Andrew McGrath","21",3,2017,"Essendon"
"1252","Nathan Jones","21",9,2017,"Melbourne"
"1253","Cameron Pedersen","21",7,2017,"Melbourne"
"1254","James Harmes","21",5,2017,"Melbourne"
"1255","Clayton Oliver","21",4,2017,"Melbourne"
"1256","Billy Longer","21",4,2017,"St Kilda"
"1257","Jordan Lewis","21",1,2017,"Melbourne"
"1258","Isaac Smith","21",10,2017,"Hawthorn"
"1259","Luke Breust","21",8,2017,"Hawthorn"
"1260","Shaun Higgins","21",5,2017,"North Melbourne"
"1261","Jack Gunston","21",5,2017,"Hawthorn"
"1262","Luke Hodge","21",2,2017,"Hawthorn"
"1263","Chad Wingard","21",9,2017,"Port Adelaide"
"1264","Ollie Wines","21",8,2017,"Port Adelaide"
"1265","Ben Reid","21",5,2017,"Collingwood"
"1266","Robbie Gray","21",4,2017,"Port Adelaide"
"1267","Adam Treloar","21",2,2017,"Collingwood"
"1268","Travis Boak","21",2,2017,"Port Adelaide"
"1269","Dane Rampe","22",7,2017,"Sydney"
"1270","Matt Crouch","22",7,2017,"Adelaide"
"1271","Rory Sloane","22",6,2017,"Adelaide"
"1272","Josh P. Kennedy","22",5,2017,"Sydney"
"1273","Mitch McGovern","22",4,2017,"Adelaide"
"1274","Luke Parker","22",1,2017,"Sydney"
"1275","Travis Boak","22",9,2017,"Port Adelaide"
"1276","Charlie Dixon","22",8,2017,"Port Adelaide"
"1277","Jack Macrae","22",6,2017,"Western Bulldogs"
"1278","Paddy Ryder","22",3,2017,"Port Adelaide"
"1279","Bailey Dale","22",2,2017,"Western Bulldogs"
"1280","Tom Jonas","22",1,2017,"Port Adelaide"
"1281","Ollie Wines","22",1,2017,"Port Adelaide"
"1282","Patrick Dangerfield","22",10,2017,"Geelong"
"1283","Sam Menegola","22",8,2017,"Geelong"
"1284","Will Hoskin-Elliott","22",4,2017,"Collingwood"
"1285","Taylor Adams","22",3,2017,"Collingwood"
"1286","Tom Stewart","22",2,2017,"Geelong"
"1287","Mason Cox","22",2,2017,"Collingwood"
"1288","Jordan Murdoch","22",1,2017,"Geelong"
"1289","Josh Kelly","22",10,2017,"Greater Western Sydney"
"1290","Josh Kelly","22",10,2017,"Greater Western Sydney"
"1291","Lachie Whitfield","22",8,2017,"Greater Western Sydney"
"1292","Lachie Whitfield","22",8,2017,"Greater Western Sydney"
"1293","Matt Priddis","22",6,2017,"West Coast"
"1294","Callan Ward","22",3,2017,"Greater Western Sydney"
"1295","Callan Ward","22",3,2017,"Greater Western Sydney"
"1296","Elliot Yeo","22",3,2017,"West Coast"
"1297","David Zaharakis","22",10,2017,"Essendon"
"1298","Steven May","22",6,2017,"Gold Coast"
"1299","Brendon Goddard","22",5,2017,"Essendon"
"1300","Tom Bellchambers","22",4,2017,"Essendon"
"1301","Dyson Heppell","22",3,2017,"Essendon"
"1302","Aaron Hall","22",2,2017,"Gold Coast"
"1303","Sam Docherty","22",10,2017,"Carlton"
"1304","Tom Mitchell","22",7,2017,"Hawthorn"
"1305","Jed Lamb","22",5,2017,"Carlton"
"1306","Marc Murphy","22",5,2017,"Carlton"
"1307","Isaac Smith","22",2,2017,"Hawthorn"
"1308","Jarrod Pickett","22",1,2017,"Carlton"
"1309","Jesse Hogan","22",9,2017,"Melbourne"
"1310","Nathan Jones","22",8,2017,"Melbourne"
"1311","Dayne Beams","22",7,2017,"Brisbane Lions"
"1312","Cameron Pedersen","22",3,2017,"Melbourne"
"1313","Clayton Oliver","22",2,2017,"Melbourne"
"1314","Darcy Gardiner","22",1,2017,"Brisbane Lions"
"1315","Jacob Townsend","22",9,2017,"Richmond"
"1316","Dustin Martin","22",8,2017,"Richmond"
"1317","Shaun Grigg","22",7,2017,"Richmond"
"1318","Jack Riewoldt","22",2,2017,"Richmond"
"1319","Kane Lambert","22",2,2017,"Richmond"
"1320","Bachar Houli","22",1,2017,"Richmond"
"1321","Nat Fyfe","22",1,2017,"Fremantle"
"1322","Jack Steven","22",10,2017,"St Kilda"
"1323","Sebastian Ross","22",8,2017,"St Kilda"
"1324","Luke Dunstan","22",5,2017,"St Kilda"
"1325","Ben Cunnington","22",5,2017,"North Melbourne"
"1326","Jade Gresham","22",1,2017,"St Kilda"
"1327","Taylor Garner","22",1,2017,"North Melbourne"
"1328","Jarryd Roughead","23",10,2017,"Hawthorn"
"1329","Ben McEvoy","23",8,2017,"Hawthorn"
"1330","Jack Macrae","23",4,2017,"Western Bulldogs"
"1331","Matthew Boyd","23",3,2017,"Western Bulldogs"
"1332","James Sicily","23",2,2017,"Hawthorn"
"1333","Isaac Smith","23",2,2017,"Hawthorn"
"1334","Jack Gunston","23",1,2017,"Hawthorn"
"1335","Jamie Elliott","23",10,2017,"Collingwood"
"1336","Jeremy Howe","23",4,2017,"Collingwood"
"1337","Will Hoskin-Elliott","23",4,2017,"Collingwood"
"1338","Clayton Oliver","23",3,2017,"Melbourne"
"1339","Taylor Adams","23",3,2017,"Collingwood"
"1340","Tom Phillips","23",2,2017,"Collingwood"
"1341","Christian Petracca","23",2,2017,"Melbourne"
"1342","Jayden Hunt","23",1,2017,"Melbourne"
"1343","Tom Langdon","23",1,2017,"Collingwood"
"1344","Ben Brown","23",9,2017,"North Melbourne"
"1345","Shaun Higgins","23",9,2017,"North Melbourne"
"1346","Trent Dumont","23",5,2017,"North Melbourne"
"1347","Daniel Rich","23",3,2017,"Brisbane Lions"
"1348","Dayne Zorko","23",2,2017,"Brisbane Lions"
"1349","Scott Thompson","23",1,2017,"North Melbourne"
"1350","Luke McDonald","23",1,2017,"North Melbourne"
"1351","Lance Franklin","23",10,2017,"Sydney"
"1352","Josh P. Kennedy","23",7,2017,"Sydney"
"1353","Luke Parker","23",4,2017,"Sydney"
"1354","Zak Jones","23",3,2017,"Sydney"
"1355","Gary Rohan","23",3,2017,"Sydney"
"1356","Heath Grundy","23",2,2017,"Sydney"
"1357","Matthew Kreuzer","23",1,2017,"Carlton"
"1358","Sam Gray","23",10,2017,"Port Adelaide"
"1359","Charlie Dixon","23",6,2017,"Port Adelaide"
"1360","Ollie Wines","23",4,2017,"Port Adelaide"
"1361","Paddy Ryder","23",3,2017,"Port Adelaide"
"1362","Travis Boak","23",3,2017,"Port Adelaide"
"1363","Brad Ebert","23",2,2017,"Port Adelaide"
"1364","Dan Houston","23",1,2017,"Port Adelaide"
"1365","Darcy Byrne-Jones","23",1,2017,"Port Adelaide"
"1366","Sam Menegola","23",9,2017,"Geelong"
"1367","Patrick Dangerfield","23",9,2017,"Geelong"
"1368","Callan Ward","23",6,2017,"Greater Western Sydney"
"1369","Callan Ward","23",6,2017,"Greater Western Sydney"
"1370","Mitch Duncan","23",3,2017,"Geelong"
"1371","Tom Hawkins","23",2,2017,"Geelong"
"1372","Zac Smith","23",1,2017,"Geelong"
"1373","Zach Merrett","23",10,2017,"Essendon"
"1374","Brendon Goddard","23",8,2017,"Essendon"
"1375","James Stewart","23",4,2017,"Essendon"
"1376","Nat Fyfe","23",3,2017,"Fremantle"
"1377","Tom Bellchambers","23",3,2017,"Essendon"
"1378","Jobe Watson","23",2,2017,"Essendon"
"1379","Jeremy McGovern","23",8,2017,"West Coast"
"1380","Sam Mitchell","23",5,2017,"West Coast"
"1381","Andrew Gaff","23",4,2017,"West Coast"
"1382","Matt Crouch","23",4,2017,"Adelaide"
"1383","Sam Jacobs","23",3,2017,"Adelaide"
"1384","Rory Sloane","23",3,2017,"Adelaide"
"1385","Jack Darling","23",2,2017,"West Coast"
"1386","Elliot Yeo","23",1,2017,"West Coast"
"1387","Dustin Martin","23",10,2017,"Richmond"
"1388","Jacob Townsend","23",7,2017,"Richmond"
"1389","Shaun Grigg","23",5,2017,"Richmond"
"1390","Nick Vlastuin","23",4,2017,"Richmond"
"1391","Jade Gresham","23",2,2017,"St Kilda"
"1392","Trent Cotchin","23",2,2017,"Richmond"
"1393","Patrick Cripps","1",10,2018,"Carlton"
"1394","Dustin Martin","1",7,2018,"Richmond"
"1395","Kade Simpson","1",6,2018,"Carlton"
"1396","Jack Riewoldt","1",3,2018,"Richmond"
"1397","Dan Butler","1",2,2018,"Richmond"
"1398","Charlie Curnow","1",2,2018,"Carlton"
"1399","Rory Laird","1",6,2018,"Adelaide"
"1400","Dyson Heppell","1",6,2018,"Essendon"
"1401","Brendon Goddard","1",5,2018,"Essendon"
"1402","Michael Hurley","1",5,2018,"Essendon"
"1403","David Zaharakis","1",4,2018,"Essendon"
"1404","Bryce Gibbs","1",2,2018,"Adelaide"
"1405","James Stewart","1",2,2018,"Essendon"
"1406","Jack Steven","1",10,2018,"St Kilda"
"1407","Blake Acres","1",7,2018,"St Kilda"
"1408","Stefan Martin","1",6,2018,"Brisbane Lions"
"1409","Sebastian Ross","1",4,2018,"St Kilda"
"1410","Charlie Cameron","1",2,2018,"Brisbane Lions"
"1411","Jack Billings","1",1,2018,"St Kilda"
"1412","Brad Ebert","1",8,2018,"Port Adelaide"
"1413","Darcy Byrne-Jones","1",8,2018,"Port Adelaide"
"1414","Justin Westhoff","1",5,2018,"Port Adelaide"
"1415","Chad Wingard","1",4,2018,"Port Adelaide"
"1416","Riley Bonner","1",3,2018,"Port Adelaide"
"1417","Ollie Wines","1",1,2018,"Port Adelaide"
"1418","Travis Boak","1",1,2018,"Port Adelaide"
"1419","Aaron Young","1",7,2018,"Gold Coast"
"1420","Jarrod Harbrow","1",7,2018,"Gold Coast"
"1421","Jarrod Witts","1",6,2018,"Gold Coast"
"1422","Jack Bowes","1",4,2018,"Gold Coast"
"1423","David Swallow","1",4,2018,"Gold Coast"
"1424","Jack Ziebell","1",1,2018,"North Melbourne"
"1425","Touk Miller","1",1,2018,"Gold Coast"
"1426","Tom Mitchell","1",10,2018,"Hawthorn"
"1427","Ben Stratton","1",4,2018,"Hawthorn"
"1428","James Sicily","1",4,2018,"Hawthorn"
"1429","Steele Sidebottom","1",4,2018,"Collingwood"
"1430","Luke Breust","1",4,2018,"Hawthorn"
"1431","Jack Gunston","1",4,2018,"Hawthorn"
"1432","Jeremy Cameron","1",9,2018,"Greater Western Sydney"
"1433","Jeremy Cameron","1",9,2018,"Greater Western Sydney"
"1434","Lachie Whitfield","1",8,2018,"Greater Western Sydney"
"1435","Lachie Whitfield","1",8,2018,"Greater Western Sydney"
"1436","Stephen Coniglio","1",6,2018,"Greater Western Sydney"
"1437","Stephen Coniglio","1",6,2018,"Greater Western Sydney"
"1438","Tim Taranto","1",4,2018,"Greater Western Sydney"
"1439","Tim Taranto","1",4,2018,"Greater Western Sydney"
"1440","Toby Greene","1",3,2018,"Greater Western Sydney"
"1441","Toby Greene","1",3,2018,"Greater Western Sydney"
"1442","Max Gawn","1",9,2018,"Melbourne"
"1443","Gary Ablett","1",6,2018,"Geelong"
"1444","Joel Selwood","1",5,2018,"Geelong"
"1445","Daniel Menzel","1",5,2018,"Geelong"
"1446","Christian Petracca","1",4,2018,"Melbourne"
"1447","Clayton Oliver","1",1,2018,"Melbourne"
"1448","Lance Franklin","1",10,2018,"Sydney"
"1449","Luke Parker","1",7,2018,"Sydney"
"1450","Isaac Heeney","1",5,2018,"Sydney"
"1451","Mark LeCras","1",4,2018,"West Coast"
"1452","Shannon Hurn","1",2,2018,"West Coast"
"1453","Jack Darling","1",2,2018,"West Coast"
"1454","Rory Laird","2",10,2018,"Adelaide"
"1455","Josh Jenkins","2",7,2018,"Adelaide"
"1456","Dustin Martin","2",7,2018,"Richmond"
"1457","Rory Sloane","2",4,2018,"Adelaide"
"1458","Hugh Greenwood","2",1,2018,"Adelaide"
"1459","Bryce Gibbs","2",1,2018,"Adelaide"
"1460","Ben Brown","2",10,2018,"North Melbourne"
"1461","Jarrad Waite","2",5,2018,"North Melbourne"
"1462","Todd Goldstein","2",5,2018,"North Melbourne"
"1463","Jamie Macmillan","2",4,2018,"North Melbourne"
"1464","Robbie Tarrant","2",3,2018,"North Melbourne"
"1465","Ben Jacobs","2",2,2018,"North Melbourne"
"1466","Shaun Higgins","2",1,2018,"North Melbourne"
"1467","Tom J. Lynch","2",10,2018,"Gold Coast"
"1468","Jarryd Lyons","2",8,2018,"Gold Coast"
"1469","Jack Martin","2",4,2018,"Gold Coast"
"1470","David Swallow","2",3,2018,"Gold Coast"
"1471","Jarrod Witts","2",2,2018,"Gold Coast"
"1472","Nick Holman","2",2,2018,"Gold Coast"
"1473","Ed Curnow","2",1,2018,"Carlton"
"1474","Stephen Coniglio","2",10,2018,"Greater Western Sydney"
"1475","Stephen Coniglio","2",10,2018,"Greater Western Sydney"
"1476","Brodie Grundy","2",7,2018,"Collingwood"
"1477","Jeremy Howe","2",4,2018,"Collingwood"
"1478","Jeremy Finlayson","2",3,2018,"Greater Western Sydney"
"1479","Jeremy Finlayson","2",3,2018,"Greater Western Sydney"
"1480","Tom Phillips","2",2,2018,"Collingwood"
"1481","Phil Davis","2",2,2018,"Greater Western Sydney"
"1482","Phil Davis","2",2,2018,"Greater Western Sydney"
"1483","Steele Sidebottom","2",1,2018,"Collingwood"
"1484","Scott Pendlebury","2",1,2018,"Collingwood"
"1485","Nathan Wilson","2",10,2018,"Fremantle"
"1486","Nat Fyfe","2",8,2018,"Fremantle"
"1487","Stephen Hill","2",4,2018,"Fremantle"
"1488","Alex Pearce","2",3,2018,"Fremantle"
"1489","Matt Taberner","2",2,2018,"Fremantle"
"1490","Connor Blakely","2",2,2018,"Fremantle"
"1491","Conor McKenna","2",1,2018,"Essendon"
"1492","Jesse Hogan","2",9,2018,"Melbourne"
"1493","Clayton Oliver","2",8,2018,"Melbourne"
"1494","Charlie Cameron","2",5,2018,"Brisbane Lions"
"1495","Jeff Garlett","2",5,2018,"Melbourne"
"1496","Nathan Jones","2",3,2018,"Melbourne"
"1497","Shannon Hurn","2",10,2018,"West Coast"
"1498","Jack Darling","2",8,2018,"West Coast"
"1499","Jack Macrae","2",4,2018,"Western Bulldogs"
"1500","Liam Ryan","2",3,2018,"West Coast"
"1501","Nic Naitanui","2",2,2018,"West Coast"
"1502","Scott Lycett","2",2,2018,"West Coast"
"1503","Lachie Hunter","2",1,2018,"Western Bulldogs"
"1504","Ollie Wines","2",9,2018,"Port Adelaide"
"1505","Charlie Dixon","2",8,2018,"Port Adelaide"
"1506","Robbie Gray","2",6,2018,"Port Adelaide"
"1507","Lance Franklin","2",5,2018,"Sydney"
"1508","Justin Westhoff","2",1,2018,"Port Adelaide"
"1509","Travis Boak","2",1,2018,"Port Adelaide"
"1510","Tom Mitchell","2",10,2018,"Hawthorn"
"1511","Ben McEvoy","2",7,2018,"Hawthorn"
"1512","Gary Ablett","2",6,2018,"Geelong"
"1513","Patrick Dangerfield","2",3,2018,"Geelong"
"1514","Jarman Impey","2",2,2018,"Hawthorn"
"1515","Tim Kelly","2",1,2018,"Geelong"
