"","player_name","match_round","vote","season","player_team"
"117","Patrick Cripps","2",3,2017,"Carlton"
"118","Neville Jetta","2",2,2017,"Melbourne"
"119","Nathan Jones","2",1,2017,"Melbourne"
"120","Robbie Gray","2",10,2017,"Port Adelaide"
"121","Ollie Wines","2",8,2017,"Port Adelaide"
"122","Sam Powell-Pepper","2",3,2017,"Port Adelaide"
"123","Jared Polec","2",3,2017,"Port Adelaide"
"124","Tom Jonas","2",2,2017,"Port Adelaide"
"125","Paddy Ryder","2",2,2017,"Port Adelaide"
"126","Brad Ebert","2",1,2017,"Port Adelaide"
"127","Charlie Dixon","2",1,2017,"Port Adelaide"
"128","Taylor Adams","3",9,2017,"Collingwood"
"129","Adam Treloar","3",7,2017,"Collingwood"
"130","Alex Fasolo","3",5,2017,"Collingwood"
"131","Josh P. Kennedy","3",4,2017,"Sydney"
"132","Henry Schade","3",2,2017,"Collingwood"
"133","Scott Pendlebury","3",2,2017,"Collingwood"
"134","Brayden Maynard","3",1,2017,"Collingwood"
"135","Josh Kelly","3",10,2017,"Greater Western Sydney"
"136","Josh Kelly","3",10,2017,"Greater Western Sydney"
"137","Callan Ward","3",7,2017,"Greater Western Sydney"
"138","Callan Ward","3",7,2017,"Greater Western Sydney"
"139","Jack Ziebell","3",5,2017,"North Melbourne"
"140","Dylan Shiel","3",4,2017,"Greater Western Sydney"
"141","Dylan Shiel","3",4,2017,"Greater Western Sydney"
"142","Shane Mumford","3",2,2017,"Greater Western Sydney"
"143","Shane Mumford","3",2,2017,"Greater Western Sydney"
"144","Braydon Preuss","3",1,2017,"North Melbourne"
"145","Zac Williams","3",1,2017,"Greater Western Sydney"
"146","Zac Williams","3",1,2017,"Greater Western Sydney"
"147","Dustin Martin","3",10,2017,"Richmond"
"148","Alex Rance","3",7,2017,"Richmond"
"149","Trent Cotchin","3",7,2017,"Richmond"
"150","Mark LeCras","3",4,2017,"West Coast"
"151","Luke Shuey","3",1,2017,"West Coast"
"152","Andrew Gaff","3",1,2017,"West Coast"
"153","Patrick Dangerfield","3",8,2017,"Geelong"
"154","Jayden Hunt","3",8,2017,"Melbourne"
"155","Joel Selwood","3",6,2017,"Geelong"
"156","Nathan Jones","3",3,2017,"Melbourne"
"157","Mark Blicavs","3",3,2017,"Geelong"
"158","Tom Hawkins","3",2,2017,"Geelong"
"159","Stephen Hill","3",10,2017,"Fremantle"
"160","Nat Fyfe","3",6,2017,"Fremantle"
"161","Joel Hamling","3",4,2017,"Fremantle"
"162","David Mundy","3",3,2017,"Fremantle"
"163","Bradley Hill","3",3,2017,"Fremantle"
"164","Jason Johannisen","3",3,2017,"Western Bulldogs"
"165","Lachie Hunter","3",1,2017,"Western Bulldogs"
"166","Rory Sloane","3",10,2017,"Adelaide"
"167","Taylor Walker","3",8,2017,"Adelaide"
"168","Ollie Wines","3",6,2017,"Port Adelaide"
"169","Richard Douglas","3",3,2017,"Adelaide"
"170","Kyle Hartigan","3",2,2017,"Adelaide"
"171","Darcy Byrne-Jones","3",1,2017,"Port Adelaide"
"172","Nick Riewoldt","3",10,2017,"St Kilda"
"173","Leigh Montagna","3",7,2017,"St Kilda"
"174","Daniel Rich","3",7,2017,"Brisbane Lions"
"175","Luke Dunstan","3",2,2017,"St Kilda"
"176","Stefan Martin","3",2,2017,"Brisbane Lions"
"177","Dylan Roberton","3",1,2017,"St Kilda"
"178","Tim Membrey","3",1,2017,"St Kilda"
"179","Marc Murphy","3",10,2017,"Carlton"
"180","Bryce Gibbs","3",8,2017,"Carlton"
"181","Brendon Goddard","3",3,2017,"Essendon"
"182","Matthew Kreuzer","3",3,2017,"Carlton"
"183","Lachie Plowman","3",2,2017,"Carlton"
"184","Sam Docherty","3",2,2017,"Carlton"
"185","Kade Simpson","3",1,2017,"Carlton"
"186","Dyson Heppell","3",1,2017,"Essendon"
"187","David Swallow","3",10,2017,"Gold Coast"
"188","Jarrod Witts","3",6,2017,"Gold Coast"
"189","Gary Ablett","3",4,2017,"Gold Coast"
"190","Jack Martin","3",4,2017,"Gold Coast"
"191","Aaron Hall","3",3,2017,"Gold Coast"
"192","Touk Miller","3",2,2017,"Gold Coast"
"193","Brandon Matera","3",1,2017,"Gold Coast"
"194","Luke Shuey","4",10,2017,"West Coast"
