"","season","player_id","player_name","player_team","cluster","match_round","match_id","match_date","match_home_team","match_away_team","game_outcome","game_margin","roll_avg","coaches_votes","kicks","marks","handballs","disposals","effective_disposals","goals","tackles","rebounds","inside_fifties","clearances","clangers","contested_possessions","uncontested_possessions","marks_inside_fifty","one_percenters","goal_assists","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","contest_def_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","marks_on_lead","pressure_acts","rating_points","score_launches","shots_at_goal","spoils","mean_votes_pg","kicked_bag","huge_game","experience","upset_expected","real_impact_proxy","leader"
"11",2020,12269,"Patrick Cripps","Carlton","Star",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.704210195937766,5,0.882352941176471,0.375,1,1,1,0,0.4,0.111111111111111,0.777777777777778,1,0.857142857142857,1,0.777777777777778,0,0.3,0,0.962025316455696,0.862745098039216,1,0.5,0.9,0.517529215358932,0.666666666666667,0.1,0,0.5,0.411764705882353,0.615384615384615,0,1,0,0.36,1,0.166666666666667,0,0,1,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Captain"
"12",2020,12410,"Jacob Weitering","Carlton","Key defender",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.0103573510290096,3,0.647058823529412,0.25,0,0.366666666666667,0.473684210526316,0,0.6,0.444444444444444,0.222222222222222,0,0.571428571428571,0.529411764705882,0.222222222222222,0,1,0,0.417721518987342,0.764705882352941,0,0,0.1,0.550918196994992,0.333333333333333,0.8,1,0,0.411764705882353,0.692307692307692,0,0.666666666666667,0,0.24,0.646288209606987,0.166666666666667,0,1,0.0384615384615385,"No","No","Inexperienced","Expected_Loss","Moderate impact","Not Captain"
"13",2020,12415,"Mitch McGovern","Carlton","Small forward",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.0345245034300318,0,0.235294117647059,0.5,0.133333333333333,0.2,0.157894736842105,0.25,0.4,0,0.111111111111111,0,0.142857142857143,0.235294117647059,0.111111111111111,0.6,0.2,0.5,0.367088607594937,0.441176470588235,0,0,0.4,0.240400667779633,0,0.1,0,0.5,0.176470588235294,0.230769230769231,0.333333333333333,0.222222222222222,0.5,0.48,0.379912663755459,0,0.4,0.222222222222222,0,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"14",2020,12466,"Jack Silvagni","Carlton","Small forward",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0,0,0.235294117647059,0.125,0.0666666666666667,0.166666666666667,0.105263157894737,0.5,0,0,0,0,0,0.294117647058824,0.0555555555555556,0.2,0.1,0,0.227848101265823,0.313725490196078,0,0,0.4,0.15025041736227,0.111111111111111,0,0,0.5,0.176470588235294,0.153846153846154,0.666666666666667,0.222222222222222,0,0.36,0.419213973799127,0,0.6,0,0,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"15",2020,12484,"David Cuningham","Carlton","Midfielder",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0,0,0.411764705882353,0.375,0,0.233333333333333,0.263157894736842,0.5,0.2,0,0.222222222222222,0,0.142857142857143,0.117647058823529,0.222222222222222,0,0.1,0.5,0.430379746835443,0.323529411764706,0,0,0.5,0.310517529215359,0.111111111111111,0,0,0,0,0.384615384615385,0,0,0,0.08,0.213973799126638,0,0.6,0.111111111111111,0,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"16",2020,12496,"Sam Petrevski-Seton","Carlton","Low impact",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.0593193740752365,0,0.647058823529412,0,0.466666666666667,0.6,0.842105263157895,0,0.4,0.111111111111111,0.222222222222222,0.3,0,0.647058823529412,0.388888888888889,0,0.1,0,0.544303797468354,0.872549019607843,0,0.75,0.4,0.377295492487479,0,0.9,0,0,0.705882352941177,0.692307692307692,0,1,0,0.4,0.882096069868995,0.5,0,0.111111111111111,0.0699300699300699,"No","No","Inexperienced","Expected_Loss","Some impact","Not Captain"
"17",2020,12517,"Nic Newman","Carlton","Second forward",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.0310720530870287,0,0.647058823529412,0.25,0.0666666666666667,0.4,0.473684210526316,0,0.4,0.333333333333333,0,0,0.571428571428571,0.0588235294117647,0.444444444444444,0,0,0,0.417721518987342,0.147058823529412,0,0,0.1,0.447412353923205,0.111111111111111,0.2,0,0,0.529411764705882,0.615384615384615,0,0.111111111111111,0,0.44,0.218340611353712,0,0,0,0.115384615384615,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"18",2020,12528,"Zac Fisher","Carlton","Midfielder",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0,0,0.588235294117647,0.375,0.4,0.533333333333333,0.578947368421053,0,0,0,0.555555555555556,0.3,0,0.470588235294118,0.444444444444444,0,0.2,0,0.481012658227848,0.549019607843137,0.125,0.5,0.3,0.666110183639399,0.333333333333333,0.2,0.125,0,0.352941176470588,0.461538461538462,0,0.777777777777778,0,0.48,0.703056768558952,0,0,0.111111111111111,0,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"19",2020,12574,"Will Setterfield","Carlton","Star",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0.0115081678100106,0,0.235294117647059,0.125,0.0666666666666667,0.166666666666667,0.157894736842105,0,0.4,0,0.222222222222222,0.1,0.285714285714286,0.176470588235294,0.0555555555555556,0,0.1,0,0.10126582278481,0,0,0.25,0.3,0.210350584307179,0.111111111111111,0.3,0.125,0,0.352941176470588,0.153846153846154,0,0.333333333333333,0,0.44,0.187772925764192,0.333333333333333,0,0.111111111111111,0.0427350427350427,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
"20",2020,12589,"Paddy Dow","Carlton","Small forward",1,15615,"2020-03-19","Richmond","Carlton","Loss",-24,0,0,0.235294117647059,0.375,0.133333333333333,0.2,0.157894736842105,0,0.4,0.111111111111111,0.111111111111111,0,0.142857142857143,0.117647058823529,0.222222222222222,0.4,0,0.5,0.278481012658228,0.0294117647058824,0,0,0.4,0.218697829716194,0,0.1,0,0,0.176470588235294,0.153846153846154,0.333333333333333,0.111111111111111,0,0.36,0,0.166666666666667,0.4,0,0,"No","No","Inexperienced","Expected_Loss","Impact Rewarded","Not Captain"
