"","season","match_date","match_round","player_team","bookmaker_prob_win"
"116",2017,"2017-05-06",7,"Port Adelaide",0.71
"117",2017,"2017-05-06",7,"Gold Coast",0.36
"118",2017,"2017-05-06",7,"Geelong",0.64
"119",2017,"2017-05-06",7,"Western Bulldogs",0.74
"120",2017,"2017-05-06",7,"Richmond",0.26
"121",2017,"2017-05-07",7,"Sydney",0.87
"122",2017,"2017-05-07",7,"Brisbane Lions",0.13
"123",2017,"2017-05-07",7,"Hawthorn",0.36
"124",2017,"2017-05-07",7,"Melbourne",0.64
"125",2017,"2017-05-07",7,"Fremantle",0.62
"126",2017,"2017-05-07",7,"Essendon",0.38
"127",2017,"2017-05-12",8,"West Coast",0.65
"128",2017,"2017-05-12",8,"Western Bulldogs",0.35
"129",2017,"2017-05-13",8,"Hawthorn",0.85
"130",2017,"2017-05-13",8,"Brisbane Lions",0.15
"131",2017,"2017-05-13",8,"St Kilda",0.73
"132",2017,"2017-05-13",8,"Carlton",0.27
"133",2017,"2017-05-13",8,"Greater Western Sydney",0.78
"134",2017,"2017-05-13",8,"Collingwood",0.22
"135",2017,"2017-05-13",8,"Essendon",0.28
"136",2017,"2017-05-13",8,"Geelong",0.72
"137",2017,"2017-05-13",8,"Melbourne",0.16
"138",2017,"2017-05-13",8,"Adelaide",0.84
"139",2017,"2017-05-14",8,"Fremantle",0.31
"140",2017,"2017-05-14",8,"Richmond",0.69
"141",2017,"2017-05-14",8,"Port Adelaide",0.73
"142",2017,"2017-05-14",8,"Gold Coast",0.27
"143",2017,"2017-05-14",8,"Sydney",0.45
"144",2017,"2017-05-14",8,"North Melbourne",0.55
"145",2017,"2017-05-19",9,"Geelong",0.48
"146",2017,"2017-05-19",9,"Western Bulldogs",0.52
"147",2017,"2017-05-20",9,"Sydney",0.51
"148",2017,"2017-05-20",9,"St Kilda",0.49
"149",2017,"2017-05-20",9,"Greater Western Sydney",0.74
"150",2017,"2017-05-20",9,"Richmond",0.26
"151",2017,"2017-05-20",9,"Adelaide",0.89
"152",2017,"2017-05-20",9,"Brisbane Lions",0.11
"153",2017,"2017-05-20",9,"Collingwood",0.64
"154",2017,"2017-05-20",9,"Hawthorn",0.36
"155",2017,"2017-05-21",9,"Essendon",0.39
"156",2017,"2017-05-21",9,"West Coast",0.61
"157",2017,"2017-05-21",9,"North Melbourne",0.4
"158",2017,"2017-05-21",9,"Melbourne",0.6
"159",2017,"2017-05-21",9,"Fremantle",0.71
"160",2017,"2017-05-21",9,"Carlton",0.29
"161",2017,"2017-05-25",10,"Geelong",0.55
"162",2017,"2017-05-25",10,"Port Adelaide",0.45
"163",2017,"2017-05-26",10,"Hawthorn",0.18
"164",2017,"2017-05-26",10,"Sydney",0.82
"165",2017,"2017-05-27",10,"Western Bulldogs",0.65
"166",2017,"2017-05-27",10,"St Kilda",0.35
"167",2017,"2017-05-27",10,"Melbourne",0.7
"168",2017,"2017-05-27",10,"Gold Coast",0.3
"169",2017,"2017-05-27",10,"Richmond",0.54
"170",2017,"2017-05-27",10,"Essendon",0.46
"171",2017,"2017-05-27",10,"Adelaide",0.82
"172",2017,"2017-05-27",10,"Fremantle",0.18
"173",2017,"2017-05-28",10,"Collingwood",0.89
"174",2017,"2017-05-28",10,"Brisbane Lions",0.11
"175",2017,"2017-05-28",10,"North Melbourne",0.72
"176",2017,"2017-05-28",10,"Carlton",0.28
"177",2017,"2017-05-28",10,"Greater Western Sydney",0.37
"178",2017,"2017-05-28",10,"West Coast",0.63
"179",2017,"2017-06-01",11,"Port Adelaide",0.81
"180",2017,"2017-06-01",11,"Hawthorn",0.19
"181",2017,"2017-06-02",11,"Geelong",0.45
"182",2017,"2017-06-02",11,"Adelaide",0.55
"183",2017,"2017-06-03",11,"Gold Coast",0.48
"184",2017,"2017-06-03",11,"West Coast",0.52
"185",2017,"2017-06-03",11,"Greater Western Sydney",0.76
"186",2017,"2017-06-03",11,"Essendon",0.24
"187",2017,"2017-06-03",11,"Richmond",0.51
"188",2017,"2017-06-03",11,"North Melbourne",0.49
"189",2017,"2017-06-04",11,"Collingwood",0.55
"190",2017,"2017-06-04",11,"Fremantle",0.45
"191",2017,"2017-06-08",12,"Sydney",0.54
"192",2017,"2017-06-08",12,"Western Bulldogs",0.46
"193",2017,"2017-06-09",12,"Adelaide",0.81
"194",2017,"2017-06-09",12,"St Kilda",0.19
"195",2017,"2017-06-10",12,"Gold Coast",0.52
"196",2017,"2017-06-10",12,"Hawthorn",0.48
"197",2017,"2017-06-10",12,"Brisbane Lions",0.43
